Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk116.wav,16000,220500,13.78,110.546486,-302.63348,-18.395763,-13.026753,-28.303958892822266,1.474207639694214,7262.521261864061,1756.6962883871263,4063.0408596247057,3925.558978322472,3018.6074369252165,4966.259035688485,3464.1152429820318,1918.057259455352,2837.5286203971405,2863.0458007260813,2652.0380463949577,3074.8331247726264,0.64111328125,0.0712890625,0.2880938678219257,0.25244140625,0.150146484375,0.404296875,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk117.wav,16000,220500,13.78,94.06241,-324.7464,-18.357365,-10.303629,-24.82376480102539,3.79555082321167,7100.295747943815,1998.700558765124,4071.523620787683,4095.160788142839,2988.4545864765723,4960.5118205741455,3424.8531487148657,1942.3374470263132,2850.555976275133,2923.3362867430988,2668.824418834219,3057.333743143199,0.65966796875,0.083984375,0.2897762289733178,0.2685546875,0.1533203125,0.401611328125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk120.wav,16000,220500,13.78,101.92059,-355.48395,-19.884987,-11.848238,-27.782628059387207,2.5422513484954834,7082.136339545169,1734.098843978799,4000.730756443845,3819.053519333624,3015.0928518057785,4778.286114836731,3432.060468080906,1739.8904978937562,2762.337554223327,2822.0252550760483,2509.3052633999355,3006.661422250693,0.65283203125,0.0615234375,0.2804977523201856,0.232421875,0.16357421875,0.39208984375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk176.wav,16000,220500,13.78,101.138916,-324.44226,-21.726156,-14.464666,-28.26112461090088,-2.7021141052246094,7223.3685810920115,1774.9970242259724,4024.6480511438303,3804.378565195321,3048.6373403795683,4881.174894569166,3437.274876725809,1989.845177136956,2829.1294027411204,2855.7284074876484,2662.0392101744505,3023.034364152665,0.671875,0.0439453125,0.2877222755945475,0.2607421875,0.15234375,0.39306640625,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video14/chunk47.wav,16000,220500,13.78,117.89206,-357.2369,-16.888271,-8.8514,-22.94673156738281,2.959368586540222,7308.728623356166,1832.487033581453,4060.2795414988127,3904.18756351204,3067.940086530932,5065.9485983964405,3506.3815102143453,2051.039647415751,2804.471947578894,2844.4306541965398,2628.38987167856,2995.450048727067,0.7119140625,0.07568359375,0.296052512325986,0.26708984375,0.17236328125,0.41845703125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk122.wav,16000,220500,13.78,110.67529,-302.09686,-18.572296,-9.443295,-23.82029151916504,3.1169142723083496,7248.715527121144,1808.7403824969117,4073.993795477606,4244.739144170104,2795.4608590886965,4938.017359058686,3490.895828833947,1703.6625625573724,2765.6129558653915,2855.994766537559,2550.217158292798,3000.0492153518853,0.6875,0.0751953125,0.3090106583526682,0.31884765625,0.145751953125,0.423828125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video14/chunk49.wav,16000,220500,13.78,80.2832,-344.65237,-18.870352,-9.199835,-23.19475746154785,1.1633544564247131,7204.845503781947,2379.43564210729,4037.509997647469,3777.928823878799,3214.0580078351163,4733.047605800319,3384.8565433328363,1733.5887304999394,2674.8839626254776,2691.1493937074115,2496.5078666366444,2891.928693585758,0.65966796875,0.10009765625,0.2964478955191415,0.25634765625,0.20458984375,0.369873046875,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk124.wav,16000,220500,13.78,123.41295,-316.36768,-19.869389,-10.726685,-26.34351921081543,3.8351430892944336,7372.9575713109025,1724.2527340401864,4025.546258285767,3845.672111492938,2989.5659043531405,4823.687844172973,3456.4095620247467,1728.7075745977384,2869.3640150025053,2956.4380429846315,2701.879335074107,3116.950115860959,0.6689453125,0.041015625,0.2754914533787703,0.23876953125,0.141357421875,0.38427734375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk125.wav,16000,220500,13.78,107.26526,-385.0295,-20.48919,-10.244129,-25.08134651184082,3.6156766414642334,7205.490453828454,1825.5108231578888,4108.992063508023,4022.4282986889702,3098.408784046713,4828.82103013742,3652.322925581158,1907.1495981986552,2829.496577184785,2915.929183026144,2615.696503506781,3045.783681060566,0.69873046875,0.0478515625,0.2965283316415313,0.2724609375,0.171142578125,0.399658203125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk108.wav,16000,220500,13.78,107.63013,-298.37863,-16.867496,-11.808005,-26.500332832336422,2.0282232761383057,7161.512017661301,1898.6321663071571,4007.072806507693,3775.7964159017274,2982.069487788486,4753.236962820927,3530.502975243261,1944.499636207768,2887.189651808159,2957.696775565724,2706.6721561350782,3112.694111526337,0.666015625,0.06396484375,0.2767580390806264,0.2333984375,0.14453125,0.373291015625,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk127.wav,16000,220500,13.78,124.30373,-303.2927,-18.085367,-12.241426,-28.47731590270996,3.2942044734954834,7195.862143379052,1796.629709848231,4152.141679283569,3915.883010936953,2968.1054855740194,5346.689753077126,3423.4262596673466,1866.523684049672,2761.4257544123197,2783.4291843062547,2564.4651559377357,2986.4465032201924,0.65966796875,0.0693359375,0.3049922509425754,0.25927734375,0.159423828125,0.4521484375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video14/chunk31.wav,16000,220500,13.78,91.939064,-350.75647,-17.055288,-9.047307,-22.3334321975708,2.3099560737609863,7064.982367260304,2265.818000100217,4049.594113404512,3774.975299808621,3141.050234033784,4874.832206090586,3494.905118722685,1864.594687012053,2796.049640897036,2846.416848940796,2553.1478340192125,3023.8958896344066,0.63134765625,0.06494140625,0.3011890951276102,0.2626953125,0.200439453125,0.38330078125,9
