Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster,selection_model_y
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk158.wav,220500,10.0,22050,198.9911,-570.757,-18.776999,2.9351408,-5.718574285507202,15.688409805297852,5318.28624005954,610.0800602695654,1491.6874176594488,1199.4468133829569,983.8149538685586,1664.0065264626542,3262.4509184873737,1112.1954794815415,1972.8506718712936,1956.2028067824065,1629.6177945524869,2330.518192066551,0.42041015625,0.0146484375,0.0625294554814385,0.0419921875,0.02978515625,0.06396484375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video8/chunk83.wav,220500,10.0,22050,214.82281,-442.98218,-25.06778,-13.64122,-28.41917610168457,-0.9188632667064668,5540.261964127962,565.4756587922254,1434.9500018417934,1165.9327279109743,924.1048183670434,1451.876927769044,3516.2393628707787,779.8103759487707,1696.3402745923358,1595.9258087584342,1204.2431689388848,2019.747027974968,0.4365234375,0.02392578125,0.0746175319025522,0.05517578125,0.041015625,0.078125,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk124.wav,220500,10.0,22050,220.37582,-477.48572,-12.257815,-2.9537635,-14.21333074569702,14.195265293121338,5444.672011469016,487.31643746897214,1591.6790750112737,1255.9425394355032,957.4225653702874,1823.979534824226,3601.492808721266,896.536387759453,1906.625846750608,1776.2007487317323,1444.6565487491291,2370.8662942113456,0.46630859375,0.02001953125,0.071863444388051,0.046875,0.037353515625,0.07470703125,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk33.wav,220500,10.0,22050,220.7582,-436.70493,-9.728266,0.15203892,-15.78593635559082,15.405674934387209,5526.768335669777,505.2193768540348,1653.3178147481003,1259.947092629163,972.9426826470112,1645.3952073342284,3919.033328011836,821.888346718965,1814.2592184513976,1564.1484130250303,1370.9471269923165,2256.186363196181,0.4287109375,0.0185546875,0.0809142075116009,0.0498046875,0.03564453125,0.075927734375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk107.wav,220500,10.0,22050,234.51802,-500.30118,-10.998216,0.8977854,-15.613433837890623,17.760648727416992,5783.709556780542,371.67851385696576,1443.7058337351857,952.0450575913064,646.294198207507,1765.0033536497958,3418.384191505867,664.1984764296205,1664.9805415536514,1527.7452566668544,1119.7182373843984,2196.23525986806,0.53759765625,0.01318359375,0.0841169246664733,0.0390625,0.025390625,0.08984375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk112.wav,220500,10.0,22050,221.78024,-506.533,-11.48749,1.3457654,-15.26733684539795,20.09416675567627,5197.647577654133,381.4885695339676,1345.6618765223625,936.1464037717868,621.5936084030471,1856.2520106212608,3272.849131473667,675.2081000049174,1756.836519640528,1623.4583470811174,1215.4261449990815,2333.134491395446,0.42431640625,0.00537109375,0.063992033425174,0.037109375,0.0234375,0.07763671875,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk113.wav,220500,10.0,22050,222.48059,-499.64914,-11.91253,-0.17204332,-15.962403297424316,17.050268173217773,5538.547411615489,346.6509322966232,1400.855466408956,933.7234681965036,700.7194428603141,1670.2113998895445,3414.2632110565623,698.9341189489061,1721.9198470820495,1562.6471687859987,1163.285437591719,2269.694071478855,0.4345703125,0.01513671875,0.0739377900232018,0.0419921875,0.02734375,0.08642578125,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk115.wav,220500,10.0,22050,207.83353,-505.71762,-12.275769,1.1680484,-14.435510158538818,17.126501083374023,5896.673860355052,393.4510087893635,1507.6554161312167,964.4331616892248,778.7940969490014,1901.493999718767,3692.1825381115177,685.3701460237448,1804.355964084851,1631.4862844141337,1353.8913528561166,2318.5460719906864,0.54541015625,0.01171875,0.0795354643996519,0.03955078125,0.02783203125,0.09326171875,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk69.wav,220500,10.0,22050,233.49069,-486.2708,-10.33766,-3.9239326,-17.107970237731934,9.476120948791504,5476.094129814717,609.173188324596,1641.5282848427155,1214.402225679833,978.1153792692934,1858.1349063135303,3045.7586994374005,705.2509805071785,1573.8761196460844,1400.9746023485557,1114.44099326562,2005.1645444625387,0.43212890625,0.0234375,0.0949610734483758,0.0615234375,0.04736328125,0.103759765625,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk117.wav,220500,10.0,22050,223.75098,-509.36407,-12.143055,-0.1648761,-15.123790740966797,14.97553539276123,5911.795247307528,349.96199722721946,1448.066104913523,988.8225350760086,661.2013230344098,1901.7716809964231,3469.809950536377,644.1643161662462,1745.8285051872742,1596.2013968070062,1141.6785975562564,2336.168600766334,0.54150390625,0.013671875,0.0764924865864269,0.04443359375,0.02685546875,0.08935546875,3,Wav2Vec50_Model
